Date,Label,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2003-03-18,1,Parliament gives Blair go-ahead for war,Man arrested over jogger's murder,British Airways suspends flights to Israel,Blair appeals for Commons support as war looms,Sri Lanka v Australia: Sri Lanka innings,Just what the doctor ordered,Uefa ban Diouf for two games,"Hypocrisy,   Abstinence and Carelessness",Orange list pits transatlantic bestsellers,Anti-war protest halts Welsh assembly,Foul-mouthed Wilson taken off air,Extra police patrols to stop protesting pupils,Markets boosted by hopes of quick war,Aussies through after rain halts Sri Lanka,"Lame, Blame, and Shame",'A heart-on-sleeve resigner? I'm gobsmacked',Admissions guru dismisses Bristol protests,When the tough get going,Bill Clinton: Trust Tony's judgment,"Student debt creeps towards �11,000",Sculptor Ron Mueck reveals fascination with mothers and babies,Rachel's war,The war will not just be televised,News Corp 're-mortgages' Sky stake for DirecTV bid,Children's TV firm seeks profit
2003-03-19,1,Newcastle 0 - 2 Barcelona,Valencia 2 - 1 Arsenal,Allied planes fire on no-fly zone,Woods back with a bang to stop Rivera in two,Widespread desertions from Iraqi army,Big Food Group abandons Guyana compensation claim,Monkey goes to the British Press Awards,Lille did you know...,Tourism website awards,Britons warned over travel to Turkey,Worldwide peace protests stepped up,Phone bugs found in EU offices,Tariq Aziz defection claim denied,"France, Germany and Russia condemn war threat",UK shares hit two-month high as Iraq conflict looms,"Granada shareholder revolt justified, say analysts",Vivendi sale fever as Diller quits,Cole makes up with Blackburn,Evans' behaviour 'amounted to negligence',"Budgies,  Buffalo Joe's, and  Blackburn Rovers",One in four 'plans to remortgage',Philip Green avoids Safeway scrutiny,MPs for turning,How can I find out if a company has gone bust?,Student protesters march on Westminster
2003-03-20,1,Volunteering for the unknown,Flexibility needed on the climb up the training ladder,Finding the right medium,English via science or science via English?,News in brief,"A&E clinical practice lead nurse, St Thomas's hospital, London","Foreign Office diplomat on unpaid leave, New York","Science teacher, Linton village college, Cambridgeshire","Bus driver, Leeds","HM coroner, Manchester","Social worker, Kinross","Paramedic, London ambulance service","Youth worker, community education, Edinburgh","Estates manager, Royal Free hospital, London","Prison development manager, Dorset","Senior park ranger, Bolton","Senior environmental health officer, Bristol City Council","GP, north London","Social worker in children and families, Leeds","Director, Survivors' Poetry, charity","Governor, Woodhill prison, Milton Keynes","Tube train operator, Jubilee line, London","Specialist registrar in radiology, part time","Headteacher, Little London primary and junior school, Leeds","Acting chief executive, Forestry Commission, Surrey"
2003-03-21,1,SplashPower's mat charges your gizmos,Basra hit by bombardment,Travel fears,Evans: hangovers are my 'working zone',War adds to airlines' woes,Asian shoestring,No confirmation of 'Saddam death' report,CNN thrown out of Baghdad,Markets rally on war gains,Monica Lewinsky heads for TV big time with a new Mr Personality,Low-key Oscars get go-ahead,Great acting withholds emotions,Evans' agent accused of lying,First nuclear power plant to close,Rams relieve Gregory of his duties,John Gregory factfile,"Cups,  Cooking, and Colour",ITV 'will not lose out' on ads,In quotes: day two of war,Blunkett backs genital mutilation law,Vieiri cleared of racist remarks,Mick Hucknall,Aids protesters accuse Pretoria ministers of manslaughter,L'Homme du Train,Regional press chief in war censorship row
2003-03-24,1,Ferdinand the key in West Ham's battle for survival,Bolton 1 - 0 Tottenham,Liverpool 3 - 1 Leeds,Chelsea 5 - 0 Manchester City,Southampton 2 - 2 Aston Villa,Middlesbrough 1 - 1 Charlton,Birmingham 1 - 0 West Brom,Nottingham Forest 4 - 0 Norwich,Inverness CT 1 - 0 Celtic,"Everton's young striker keeps his place in squad for qualifiers,",Safety fears put qualifier in doubt,Ridsdale falls into silent prayer,Wolves 6 - 0 Gillingham,Ipswich 2 - 2 Brighton,Manchester United 3 - 0 Fulham,Preston 1 - 1 Portsmouth,West Ham 2 - 0 Sunderland,Newcastle 5 - 1 Blackburn Rovers,Bellamy accused of racist abuse,'Where is the UN?',Picture perfect,Sky News cements lead on News 24,Foreign Office warns against Indonesia travel,�30m for UK forces' aid effort,Virgin DJs 'feared for their jobs'
2003-03-25,0,Bolton give Tofting time off before trial,Vogts adds seven to Scotland squad,Ipswich offload two more in fire sale,Relegation run-in,Doubt over Wales game in Belgrade,The price of Welsh success: �1.5m,Jonathan Franzen: A short story about Europe and America.,Chelsea 1 - 3 Arsenal,Gunners looking down the barrel,"PCC must clean up its act, say MPs",The land that time forgot,Bertelsmann eyes AOL book publisher,Evans 'held Virgin Radio to ransom',Tories attack EU extradition reforms,Stock and war,The problem with greatness;   The Aussie who walked; and   My sister had my baby,Short: trade reform vital to end global poverty,The new England strip,Markets edge up,"War, Waterloo, and Warning",BBC pledges sensitivity in war coverage,Baby son for JK Rowling,Military 'has adapted' to media presence,Alex Murphy on the rise of the laughter club,Medical notes
2003-03-26,1,"Farewell, Adam Osborne",War on apathy,An older and wiser future,Car wars,Eco soundings,Street creed,Readers' letters,Shared aims,Guilty as charged,Sounds unfair,Building hopes,All in a day's work,Calls for concern,A telling tale,Standard errors,Front... to back,Realistic rehabilitator,Unfinished business,The alliance of science,Why is primary care important?,A health revolution?,In sickness... and in health,The front line: Salford,Expert patients,Campaigning to remove the burden on hospitals
2003-03-27,0,Bush: however long it takes,What the papers say,Abbott faces reselection fight over Iraq,Virgin Radio accused of 'conspiracy',If you go down to the woods today...,Ullswater wins Lords byelection,'Baccalaureate will spell end for league tables','Great deal to resolve' on post-war Iraq,Blair expresses 'horror' at al-Jazeera,Auton succeeds Bailey at top of IPC,IMF warns of threats to economic recovery,UK tops world league of work insecurity,Feature: Scottish jazz is nurturing its own stars,Feature: What's cutting-edge producer Richard X doing working with Liberty X?,"Luton Airport,  Madrid Globetrotters, and Brentford",Get caught mapping,Conflict of interest: the sites you need to see,Fortuyn's 'killer': I did it to protect Muslims,Credit card spending increases,Aid workers face week-long wait,New party launched in Scotland,Global warming threatens Snowdonian plant,Evans was 'unable to behave like an employee',Friends and foes join in tribute to Roy Jenkins,"Spam, spam, spam and spam? Not for much longer"
2003-03-28,0,Anti-war protests sweep Tehran,Hunter brings down the grudge match,Notes from the touchline,Home advantage pays for O'Sullivan,Scots stand by their men for Italian job,Heavy going for lighter Woods,Gloucester hand five staff their cards as players dither over pay-cut request,Sorenstam lands birdies as wind falls,Voici Monsieur Levet from Bracknell,"After a count of 10, Harrison must stand up and stop the 'Fraudley' sideswipe",Police investigate pier blaze,Massey to make his mark on turf,New kid on the block too hot for Eddery,Nayef looks on top of the world,Keeping it quiet,A compilation the whole world should listen to,Journalists disappear in Iraq,Financial problems spark redundancy fears,The war in headlines,BBC writer Jackson dies,"Don't It Make You Feel Good?,  I Should Be So Lucky, and Packjammed (With The Party Posse)",Tusa attacks BBC's 'barren' arts coverage,Day nine of the war,Dixie Chicks,Minister unveils new NHS complaints procedure
2003-03-31,0,"Bye-bye, kipper tie",Educating Iraq,If you ask me...,Rallying round,David Miliband: Teacher education must respond on rising demands of pupils,In the Round,The play's the thing,Eamonn O'Kane on violence in schools,A frantic first decade,Clarke hints at right to study,Class notes,Something to get animated about,Raw material for Hollywood,The big leap... Accounting technician,College Days,Success and failure of agricultural colleges,Natalie Fenton: Discrimination of female academics,Cyber cinema: April 2003,"Rhubarb, rhubarb","Screen Break: Boring, boring England saved by perimeter ads",European championship qualifiers: not the England news,Hillary Clinton is the sexiest woman alive,Doubts over Heskey put strain on Eriksson,Gillingham 1 - 3 Ipswich Town,Liechtenstein 0 - 2 England
2003-04-01,0,Alpay enjoys Villa holiday,How One Man's tragic death has soured a thousand magic races,MacArthur alone again with new trimaran,Bridge for an early bonus,Rain eases National going,An exhibitionist tackles Aintree,Bush start  Pitching in for the Reds,War in Iraq: casualties,Derby give Gregory a Burley shove,Leeds' losses,Jordan lays into the Palace players,Butt reveals club cliques,Sol maintains an even strain,Scots back to earth with a bump,Win in Gunes' sight,Champ man tops the table,Fox told to remove Rivera from Iraq,Blunkett warns of twin terror threat,Hikes due as Sun sets on price war,Jowell: PCC needs a 'fresh look',Quirky tomes in richest non-fiction prize race,Agreement over five-club funding in Wales,Ferdinand denies nightclub claims,Chancellor faces war's wild card,Glastonbury sells out in record 24 hours
2003-04-02,1,Food for thought -- the iGrill,Fans facing sanctions after violence,Survey shows services sector shrink,Slush-fund report poised to fall on Premier clubs,O'Neill at heart of Widnes and Wigan tussle,The decline of West Indian cricket,Ailing West Indies send out their biggest cry for help,Budget slashed by �4m,Kidney disease threatens Lomu's career,Vickery to come back with a bang,BBC cameraman killed in Iraq,Leader: Travel bans will not stop Sars,The A-Z of Wanging Stuff at Players,WHO issues travel alert over deadly flu,Sambrook admits 'unfortunate' war comments,"Muslim voices: 'The sooner this war ends, the better for the world'",Obituary: John Cotton,McManaman: 'Beckham isn't joining Real',Millionaire trial jury goes home early,'This is not just a Muslim issue',Obituary: Sue Knussen,Swearing to serve Queen and country,'I don't think it's a war against Islam. This is more complex',Bates loses �20m Royal Mail account,British war memorial vandalised
2003-04-03,1,Matrix sequel to debut at Cannes Film Festival,Return to Titanic,Eriksson hits back with bold fury,England prepare to face the music,Most managers would have gone with the tried and trusted,Intelligence hailed as key to foiling violence,Vogts seeks positives amid the gloom,Moyes issues protection order,Owen doubtful for Old Trafford,Burley restores nephew frozen out at Derby,Reid looks beyond Leeds survival,Rooney lays down a marker for the team,Obituary: Kaveh Golestan,Baghdad airport 'under US control',How England's players shaped up,Northampton at full strength to repay fans with final flourish,Round-up,Kenyon eases friendly fire,Everton stump up �65m towards move,Reid: Leeds must sweat as well as shine,"Lewis, Tyson fight apart",Cars that stay at home and do circuit training for bumps,McCoy quick to kick-start comeback,Oxford lift spirits - and a car,Bradley shocked by appeal verdict
2003-04-04,0,Now diesel's got real pulling power,Capital bombed as battle for Baghdad looms,School of Science gives lesson in fame,'Rooney needs to forget about everything apart from football',Wenger warns wayward Pennant,Outcry over racist chants,'New Shearer' hides Robson injury fears,Which United will turn up to face Liverpool?,Houllier gives down-at-heel Heskey a shot in the arm,"Sharpen up or ship out, says Keegan",Searching for a Maradona of the Mendip Hills,'In Portugal it will be back to normal with the beer-bellied bellicosity',US troops flown in to captured Baghdad airport,Chives looks tasty for Aintree,Martell Cognac Grand National,Native gallops to rescue,How rowing's Blues brothers ended up in different shades,Hull outgun Wigan with no fuss to go top,Sale cut a deal with Van Straaten,Tomorrow's Premiership games,Gloucester gazelle stalks the big game,Saints look to atone for sins of the past,Where the experts are sticking their pins,Bracewell tempted by Sri Lanka,Schumacher backed into a corner
2003-04-07,1,Moving on,High wire,Letters,"Time, please",Helping with inquiry,No more cash for courses,In sustainable company,Muslim voices,Lining up to protest,Assess this ...,If you ask me...,"Policing on the streets, police studies on campus",Deep end,A healthy perspective,Pace yourself,Class notes,On the web,On the right track,Five weeks to go? Fear not,My best revision tip,This is your chance to show off,The hamster incident,On the scout for minority stars,"Healthier, happier","School trips, week 2: where to go"
2003-04-08,1,Pennant apologises,Real Madrid 3 - 1 Man United,James Richardson's Serie A round-up,"Ajax confident, Milan vengeful",The shifting balance of power,How they shape up,"Busby spurned Bernabeu, but became friend for life",Israeli rockets kill Hamas chief,It's hard work being so simple,David Davies: Has the Swoosh taken the whoosh out of Tiger?,US claims killings were 'self defence',US forces launch two-pronged assault on Baghdad,Gilligan casts doubt on source of hotel attack,Captured Polish journalists escape,Sky-C4 racing venture faces hurdle,Background: the Real IRA trial,Bed blocking fines bill moves onto statute book,Nervousness returns to markets,Drink and be merry,"Cups,  Clubs, and  Coins",Blair tells Bush: take rest of world into account,US: press deaths 'unfortunate',"Offa lacks bite, says critics",Universities seek reassurances from Brown,Migrating to Linux not easy for Windows users
